id; Название курса; Рейтинг; Описание; Организатор; Преподаватели
1;   Epic Guide to Stepik — Stepik; None; None; Nikolay Vyahhi; None 
5;   Python for Beginners — Stepik; 4.9; None; None; None 
7;   Программирование на языке C++ — Stepik; 4.7; Данный базовый курс повествует об основных средствах языка C++. Особое внимание уделяется обсуждению базовых принципов работы программ, а также процессу их компиляции. Курс далеко не исчерпывающий и покрывает лишь небольшую часть стандарта языка C++, однако мы постарались рассказать о наиболее важных возможностях этого языка.; Computer Science Center (CS центр); Александр Смаль, Михаил Кринкин 
43;   City Design — Stepik; 3.3; City Design online course shows the fundamentals of city planning, building and exploitation via funny short video lectures and a variety of brief assignments for self-control.; Rill Shikhanov; None 
47;   Core Concepts in Data Analysis — Stepik; None; https://www.coursera.org/course/datan; Katya Chernyak; None 
51;   Археология фольклора: мифологические мотивы на карте мира — Stepik; 4.8; Исследование мирового фольклора позволяет увидеть распространение отдельных фольклорных мотивов в разных традициях и сделать выводы о таких культурных контактах и миграциях, о которых у нас мало иных свидетельств.; European University at St Petersburg; Юрий Евгеньевич Березкин 
60;   Курс выживания в Санкт-Петербурге — Stepik; 4.7; Должно быть ясно; Rill Shikhanov; None 
63;   Алгоритмы и структуры данных — Stepik; 5; Данный курс перезапускаться не будет. Вместо него мы подготовили улучшенную версию — курс «Алгоритмы: теория и практика. Методы».Курс знакомит слушателей с базовыми алгоритмами (метод «разделяй и властвуй», поиск в массиве, сортировка массива, алгоритмы на графах) и структурами данных (расширяющийся массив, куча, дерево отрезков, системы непересекающихся множеств).Computer Science Center; Computer Science Center (CS центр); Александр Куликов, http://logic.pdmi.ras.ru/~kulikov/, Сергей Поромов 
67;   Программирование на Python — Stepik; 4.8; Курс посвящен базовым понятиям и элементам языка программирования Python (операторы, числовые и строковые переменные, списки, условия и циклы). Курс является вводным и наиболее подойдет слушателям, не имеющим опыта написания программ ни на одном из языков программирования.; Bioinformatics Institute; Тимофей Бондарев, Павел Федотов 
70;   Молекулярная биология и генетика — Stepik; 4.7; Курс рассказывает об основных понятиях молекулярной биологии и генетики, начиная от организации клетки и заканчивая микро- и макроэволюцией. Курс подойдет слушателям, как незнакомым с биологией, так и знакомым с ней на уровне школьной программы.; Bioinformatics Institute; Кирилл Григорьев, Павел Добрынин 
73;   Введение в Linux — Stepik; 4.7; Курс знакомит слушателей с операционной системой Linux и основами её использования. В рамках курса мы покажем как установить Linux на ваш компьютер, расскажем о программах в нем, поработаем в терминале, зайдем на удаленный сервер и рассмотрим еще несколько продвинутых тем. Стоит отметить, что курс не является исчерпывающим и рассказывает только о базовых возможностях Linux, но, несмотря на это, рассказанного материала достаточно для успешного выполнения разноплановых задач в системе Linux.; Bioinformatics Institute; Алексей Гуревич, Андрей Пржибельский 
75;   Функциональное программирование на языке Haskell — Stepik; 5; Курс знакомит слушателей с  языком Haskell - наиболее известным чистым функциональным языком программирования. Мы изучим понятийный аппарат и методы программирования, характерные для функциональных языков, и научимся применять их, используя богатый инструментарий, предоставляемый языком Haskell.; Computer Science Center (CS центр); Денис Москвин 
76;   Основы статистики — Stepik; 4.9; Курс знакомит слушателей с основными понятиями и методами математической статистики. В течение трех недель мы рассмотрим наиболее широко используемые статистические методы и принципы, стоящие за ними. Полученных знаний будет достаточно для решения широкого круга задач, возникающих в рамках исследовательской работы.; Bioinformatics Institute; Anatoliy Karpov 
79;   Linear Algebra: Problems and Methods — Stepik; 5; The goal of the course is explain the fundamental ideas of linear algebra and how to use them to find easy solutions of hard problems.; None; Nikolay Gusev, Paolo Bonicatto, Stefano Modena, Andrey Gavrilyuk 
81;   Журналистика и медиаграмотность — Stepik; 4.9; Курс знакомит слушателей с базовыми принципами и технологиями работы журналистов и редакций СМИ.; None; Кирилл Артеменко 
82;   Инвестиционный банкинг изнутри — Stepik; 5; Курс о различных типах карьеры в инвестиционных банках, хеджевых фондах, инвестиционных фирмах – о том, что и как делают в банковском офисе.; European University at St Petersburg; Максим Буев 
83;   Дискретные структуры — Stepik; 5; Это базовый курс дискретной математики и комбинаторики. Он для всех, кто хочет развить математическую интуицию, помогающую в работе с дискретными объектами и алгоритмами на них.; None; Alex Dainiak, http://www.dainiak.com 
85;   Базовый курс подготовки к ОГЭ по математике — Stepik; 5; Цель данного курса – устранить основные пробелы в знаниях учеников 7-9 классов и подготовить их к сдаче основного государственного экзамена (ОГЭ). Для учеников 10-11 классов курс будет полезен в качестве повторения при подготовке к ЕГЭ.; None; Анна Зубаха 
88;   Управление интеллектуальной собственностью: основы для инженеров — Stepik; 5; В курсе рассматриваются вопросы защиты и управления различными объектами интеллектуальной собственности: изобретениями, дизайном, программным обеспечением, базами данных, ноу-хау и другими. ; None; Андрей Рожнов 
91;   Ликбез по дискретной математике — Stepik; 4.9; Это обзорный курс по дискретной математике. Студенту начальных курсов он может быть полезен для повторения материала перед экзаменами. Выпускнику бакалавриата он пригодится при подготовке для поступления в магистратуру. А те, кто уже давно закончил вуз, могут просто освежить свои знания.; Computer Science Center (CS центр); Александр Омельченко 
94;   Биотехнологии: генная инженерия — Stepik; 4.8; Курс рассчитан на широкую аудиторию и освещает базовые понятия генной инженерии, такие как рекомбинантная ДНК, методы ПЦР, молекулярное клонирование, синтез генов и белков.; Bioinformatics Institute; Александр Ткаченко, Ярослав Баранов, Кирилл Григорьев 
95;   Введение в математический анализ — Stepik; 4.8; Курс знакомит слушателей с базовыми понятиями математического анализа:последовательностями, пределами, непрерывностью, производными иинтегралами. ; Computer Science Center (CS центр); Александр Храбров 
97;   Bioinformatics Algorithms (Part 2) — Stepik; None; Interactive Textbook accompanying https://www.coursera.org/course/bioinformatics2.; Phillip Compeau; None 
104;   Введение в теоретическую информатику — Stepik; 4.5; Теоретическая информатика — раздел математики, связанный с логикой, алгоритмами, сложностью: там много несложных, но важных результатов, о некоторых мы попробуем рассказать.; Computer Science Center (CS центр); Александр Шень 
107;   Course for ITSC — Stepik; None; None; Daisy Chen; None 
117;   StepCTF 2015 — Stepik; None; Соревнования по информационной безопасности начального уровня StepCTF 2015; Pavel Sviderski; None 
118;   Finding Hidden Messages in DNA (Bioinformatics I) — Stepik; None; Learn how to find the "hidden messages" in DNA that tell bacteria how to replicate their genome and that help the cell know what time it is.; Phillip Compeau; None 
125;   Основы перечислительной комбинаторики — Stepik; 5; В представленном курсе излагаются базовые понятия классической комбинаторики, владеть которыми полезно  любому выпускнику физико-математических и IT-специальностей университета.  ; Computer Science Center (CS центр); Александр Омельченко 
127;   Анализ безопасности веб-проектов — Stepik; 4.9; Крэш-курс по техникам аудита безопасности веб-проектов. После прохождения курса вы освоите:  общие знания относительно рисков, сопровождающих современные интернет-приложения; методики анализа безопасности клиент-серверных приложений; методики анализа кода; архитектурный анализ; практики разработки защищенных приложений.; Mail.Ru Group; Ярослав Рабоволюк 
131;   Развитие рационального интеллекта — Stepik; 4.4; Ум, или интеллект, одно из наиболее интересных системных качеств человека. В курсе рассматриваются различные представления ученых об этом качестве и основные его характеристики. Кроме того, даются рекомендации и упражнения, которые, во-первых, основаны на научных исследованиях последних лет, и, во-вторых, помогут выработать собственные стратегии и тактики по развитию своего интеллекта.; ITMO University; Anonymous 1184871 
132;   Политические процессы в современной России — Stepik; 4.5; Курс знакомит с политической историей пост-советской России от распада СССР до сегодняшнего дня, помогает понять актуальные политические процессы в нашей стране.; European University at St Petersburg; Владимир Гельман 
134;   Learning Algorithms through Programming — Stepik; None; None; Александр Куликов; None 
146;   Разработка веб сервиса на Java (часть 1) — Stepik; 4.8; Изучение Java, на примере разработки веб-сервера. Первая часть курса: основы разработки серверной части веб-приложений. Пройдя курс, вы получите: основные навыки разработки веб-приложений на Java, глубже поймете затронутые в курсе темы ООП и проектирования, попробуете себя в роли разработчиков серверной части веб-приложений.; Mail.Ru Group; Виталий Чибриков 
